std,32,0.000001
vect,32,0.000001
vect2th,32,0.000612
vect4th,32,0.000475
vect8th,32,0.000385
std,64,0.000000
vect,64,0.000000
vect2th,64,0.000641
vect4th,64,0.000454
vect8th,64,0.000420
std,128,0.000001
vect,128,0.000000
vect2th,128,0.000659
vect4th,128,0.000352
vect8th,128,0.000334
std,256,0.000002
vect,256,0.000001
vect2th,256,0.000675
vect4th,256,0.000443
vect8th,256,0.000335
std,512,0.000003
vect,512,0.000001
vect2th,512,0.000577
vect4th,512,0.000328
vect8th,512,0.000350
std,1024,0.000006
vect,1024,0.000001
vect2th,1024,0.000603
vect4th,1024,0.000438
vect8th,1024,0.000342
std,2048,0.000011
vect,2048,0.000002
vect2th,2048,0.000619
vect4th,2048,0.000356
vect8th,2048,0.000337
std,4096,0.000023
vect,4096,0.000004
vect2th,4096,0.000615
vect4th,4096,0.000448
vect8th,4096,0.000340
std,8192,0.000059
vect,8192,0.000008
vect2th,8192,0.000599
vect4th,8192,0.000449
vect8th,8192,0.000310
std,16384,0.000086
vect,16384,0.000015
vect2th,16384,0.000595
vect4th,16384,0.000319
vect8th,16384,0.000319
std,32768,0.000172
vect,32768,0.000029
vect2th,32768,0.000578
vect4th,32768,0.000338
vect8th,32768,0.000328
std,65536,0.000343
vect,65536,0.000057
vect2th,65536,0.000543
vect4th,65536,0.000309
vect8th,65536,0.000330
std,131072,0.000685
vect,131072,0.000122
vect2th,131072,0.000600
vect4th,131072,0.000414
vect8th,131072,0.000305
std,262144,0.001386
vect,262144,0.000240
vect2th,262144,0.000589
vect4th,262144,0.000310
vect8th,262144,0.000310
std,524288,0.002744
vect,524288,0.000477
vect2th,524288,0.000550
vect4th,524288,0.000326
vect8th,524288,0.000335
std,1048576,0.005501
vect,1048576,0.001078
vect2th,1048576,0.000631
vect4th,1048576,0.000458
vect8th,1048576,0.000342
